il·lustració	Arts Gràfiques
immoble	Arquitectura
Impressió	Arts Gràfiques
Indumentària	Vestuari i altres peces de vestit
informe	Arts Gràfiques
Institut d'Educació Secundària	Arquitectura
instrument musical	Arts aplicades
Invitació	Arts Gràfiques
jaqueta	Vestuari i altres peces de vestit
jardí	Arquitectura
jardí d'escultures	Escultura i Medalles
Jardinera	Ceràmica i Mosaic
joc de taula	Arts aplicades
joguina	Arts aplicades
joia	Orfebreria i joieria
joier	Orfebreria i joieria
Jupó	Vestuari i altres peces de vestit
Làmpada	Mobiliari i Fusteria decorativa
Làpida	Monument
litografia	Arts Gràfiques
Llar de foc	Mobiliari i Fusteria decorativa
llauna	Estris i Metallisteria
llibre	Arts Gràfiques
Llibreria	Mobiliari i Fusteria decorativa
Llibreta	Arts Gràfiques
llinda	Arquitectura
llit	Mobiliari i Fusteria decorativa
localitat	Arquitectura
Maneta	Mobiliari i Fusteria decorativa
Maniquí	Arts aplicades
mantell	Vestuari i altres peces de vestit
manuscrit	Arts Gràfiques
maqueta	Arts aplicades
màquina	Arts aplicades
Màquina de cosir	Mobiliari i Fusteria decorativa
Màquina d'escriure	Mobiliari i Fusteria decorativa
marc	Mobiliari i Fusteria decorativa
Marca blanca	Arts Gràfiques
martell	Estris i Metallisteria
masia	Arquitectura
Mataró	Arquitectura
Mausoleu	Monument
medalla	Escultura i Medalles
Medalló	Escultura i Medalles
mènsula	Arquitectura
mercat	Arquitectura
microscopi	Estris i Metallisteria
Mirador	Arquitectura
mirall	Mobiliari i Fusteria decorativa
moble	Mobiliari i Fusteria decorativa
Mocador	Vestuari i altres peces de vestit
molí de vent	Arquitectura
moneda	Estris i Metallisteria
monestir	Arquitectura
monument	Monument
Mosaic	Ceràmica i Mosaic
Motlle	Escultura i Medalles
muntanya	Monument
museu	Arquitectura
museu d'art	Arquitectura
Negatiu	Arts Gràfiques
objecte de culte	Escultura i Medalles
obra d'art	Pintura i Dibuix
observatori astronòmic	Arquitectura
oficina de farmàcia	Arquitectura
oratori	Arquitectura
organització	Arquitectura
Ornament	Arquitectura
Ou de Fabergé	Orfebreria i joieria
palau	Arquitectura
paleta	Estris i Metallisteria
Paleta d'obrar	Estris i Metallisteria
Pamflet	Arts Gràfiques
pandereta	Estris i Metallisteria
Panera	Estris i Metallisteria
Panot Gaudí	Ceràmica i Mosaic
pantaló	Vestuari i altres peces de vestit
paper	Arts Gràfiques
Paper pintat	Arts Gràfiques
Paraigüer	Mobiliari i Fusteria decorativa
para-sol	Estris i Metallisteria
Paravent	Mobiliari i Fusteria decorativa
parc	Arquitectura
Partitura	Arts Gràfiques
Paviment hidràulic	Ceràmica i Mosaic
Pedra emmotllada	Escultura i Medalles
Penell	Estris i Metallisteria
Penja-robes	Mobiliari i Fusteria decorativa
petaca	Estris i Metallisteria
piano	Mobiliari i Fusteria decorativa
Pica	Mobiliari i Fusteria decorativa
Picaporta	Mobiliari i Fusteria decorativa
Pinça	Estris i Metallisteria
Pintura i Dibuix al pastel	Pintura i Dibuix
Pintura i Dibuix sobre taula	Pintura i Dibuix
plaça	Arquitectura
Placa commemorativa	Escultura i Medalles
Placa fotogràfica	Arts Gràfiques
Plànol	Arts Gràfiques
Planxa de roba	Estris i Metallisteria
plat	Ceràmica i Mosaic
Plat	Ceràmica i Mosaic
porta	Mobiliari i Fusteria decorativa
portal	Arquitectura
Postal	Arts Gràfiques
pot de farmàcia	Estris i Metallisteria
Primera plana (diaris)	Arts Gràfiques
Programa	Arts Gràfiques
Projector cinematogràfic	Mobiliari i Fusteria decorativa
Prospecte	Arts Gràfiques
Pub	Arquitectura
publicitat	Arts Gràfiques
Punta al coixí	Vestuari i altres peces de vestit
quadre	Pintura i Dibuix
Radiador	Mobiliari i Fusteria decorativa
Rajola	Ceràmica i Mosaic
Recipient	Estris i Metallisteria
Reclinatori	Mobiliari i Fusteria decorativa
Recordatori	Arts Gràfiques
rectoria	Arquitectura
refugi de muntanya	Arquitectura
Reixa	Arquitectura
relleu	Escultura i Medalles
Rellotge de paret	Estris i Metallisteria
Rellotge de sobretaula	Estris i Metallisteria
respirall	Ceràmica i Mosaic
restaurant	Arquitectura
retaule	Escultura i Medalles
revista	Arts Gràfiques
roba blanca	Vestuari i altres peces de vestit
Roquet	Vestuari i altres peces de vestit
Sabonera	Estris i Metallisteria
sabre	Estris i Metallisteria
Safareig	Arquitectura
safata	Estris i Metallisteria
sagrari	Mobiliari i Fusteria decorativa
Sagrari	Mobiliari i Fusteria decorativa
sala de cinema	Arquitectura
sala de concerts	Arquitectura
segell	Arts Gràfiques
seient	Mobiliari i Fusteria decorativa
Setrill	Estris i Metallisteria
Sobre	Arts Gràfiques
sobrefaldilla	Vestuari i altres peces de vestit
Sofà	Mobiliari i Fusteria decorativa
Sucrera	Estris i Metallisteria
Tallapapers	Estris i Metallisteria
Tamboret	Mobiliari i Fusteria decorativa
Tanca	Arquitectura
Tapa	Estris i Metallisteria
tapís	Vestuari i altres peces de vestit
Targeta de felicitació	Arts Gràfiques
Targeta de visita	Arts Gràfiques
Tassa	Estris i Metallisteria
taula	Mobiliari i Fusteria decorativa
Taula de joc	Mobiliari i Fusteria decorativa
teatre	Arquitectura
Teatrí	Arts aplicades
Vestuari i altres peces de vestit	Vestuari i altres peces de vestit
Termòmetre	Estris i Metallisteria
Test	Ceràmica i Mosaic
Tetera	Estris i Metallisteria
tèxtil	Vestuari i altres peces de vestit
Timbre elèctric	Arts aplicades
tinter	Estris i Metallisteria
tiralínies	Estris i Metallisteria
Tocador	Mobiliari i Fusteria decorativa
tomba	Monument
torre	Arquitectura
Tovallola	Vestuari i altres peces de vestit
Treball dels metalls	Estris i Metallisteria
Trespeus	Estris i Metallisteria
